zpid,address,Latitude,Longitude
46196472," 222 Thornton Ln, Orlando, FL 32801",28.539862,-81.366273
46196513," 1505 E Robinson St, Orlando, FL 32801",28.546094,-81.361126
46196514," 1501 E Robinson St, Orlando, FL 32801",28.546093,-81.361264
46196515," 1511 E Robinson St, Orlando, FL 32801",28.546096,-81.360908
46196521," 303 E Livingston St, Orlando, FL 32801",28.547788,-81.373656
46196533," 219 E Livingston St, Orlando, FL 32801",28.547838,-81.374051
46196537," 428 Highland Ave, Orlando, FL 32801",28.548588,-81.374199
46196538," 432 Highland Ave, Orlando, FL 32801",28.548739,-81.374201
46196879," 206 E Concord St, Orlando, FL 32801",28.55062,-81.374876
46196911," 615 Mariposa St, Orlando, FL 32801",28.540028,-81.369201
46196932," 1115 E Jefferson St, Orlando, FL 32801",28.544987,-81.364415
46196936," 1001 E Jefferson St, Orlando, FL 32801",28.545009,-81.365738
46196937," 917 E Jefferson St, Orlando, FL 32801",28.545062,-81.365897
46196954," 28 N Mills Ave, Orlando, FL 32801",28.542582,-81.364133
46196955," 22 N Mills Ave, Orlando, FL 32801",28.542981,-81.3644
46196961," 25 N Thornton Ave, Orlando, FL 32801",28.54307,-81.364689
46196964," 1014 E Washington St, Orlando, FL 32801",28.543446,-81.365151
46196969," 16 N Thornton Ave, Orlando, FL 32801",28.5428,-81.36526
46196982," 116 N Thornton Ave, Orlando, FL 32801",28.544329,-81.36528
46196987," 1001 E Washington St, Orlando, FL 32801",28.543907,-81.365635
46196996," 915 E Washington St, Orlando, FL 32801",28.543976,-81.365983
46197029," 622 E Central Blvd, Orlando, FL 32801",28.542038,-81.36895
46197034," 623 E Pine St, Orlando, FL 32801",28.541661,-81.368748
46197037," 217 S Hyer Ave, Orlando, FL 32801",28.540015,-81.366377
46197046," 816 E Central Blvd, Orlando, FL 32801",28.541905,-81.366819
46197059," 815 E Pine St, Orlando, FL 32801",28.541607,-81.366977
46197064," 800 E Pine St, Orlando, FL 32801",28.541106,-81.367464
46197069," 700 E Pine St, Orlando, FL 32801",28.541133,-81.368264
46197073," 715 E Church St, Orlando, FL 32801",28.540789,-81.367742
46197085," 818 E Church St, Orlando, FL 32801",28.540194,-81.366901
46197099," 601 E Jackson St, Orlando, FL 32801",28.539393,-81.369679
46197100," 609 E Jackson St, Orlando, FL 32801",28.539397,-81.369498
46197105," 513 E South St, Orlando, FL 32801",28.538682,-81.370788
46202226," 626 W Washington St, Orlando, FL 32801",28.543862,-81.387535
46202228," 630 W Washington St, Orlando, FL 32801",28.543863,-81.387618
46227382," 1907 E South St, Orlando, FL 32801",28.538853,-81.35675
46227388," 213 Mc Jordan Ave, Orlando, FL 32801",28.539925,-81.356628
46227394," 37 Mc Jordan Ave, Orlando, FL 32801",28.540924,-81.35664
46259327," 223 Ernestine St, Orlando, FL 32801",28.532697,-81.381732
46266128," 519 S Mills Ave, Orlando, FL 32801",28.535981,-81.363937
46266136," 416 Cherokee Dr, Orlando, FL 32801",28.531484,-81.37216
46266251," 615 Bourne Pl, Orlando, FL 32801",28.534515,-81.369395
46266271," 615 Cherokee Cir, Orlando, FL 32801",28.534215,-81.370045
46266274," 649 Cherokee Cir, Orlando, FL 32801",28.53315,-81.369726
46266282," 622 Bourne Pl, Orlando, FL 32801",28.534013,-81.369546
46266363," 1305 Greenwood St, Orlando, FL 32801",28.534174,-81.362759
46266374," 1018 E Anderson St, Orlando, FL 32801",28.536407,-81.365422
46266389," 533 S Hyer Ave, Orlando, FL 32801",28.535353,-81.365989
46266390," 1000 Elmwood St, Orlando, FL 32801",28.535567,-81.366092
46266522," 501 S Eola Dr, Orlando, FL 32801",28.536488,-81.369488
46266525," 511 S Eola Dr, Orlando, FL 32801",28.536246,-81.369377
46266537," 529 S Summerlin Ave, Orlando, FL 32801",28.535614,-81.367976
46266541," 715 Palmer St, Orlando, FL 32801",28.535173,-81.367688
46266557," 514 S Hyer Ave, Orlando, FL 32801",28.536062,-81.366553
46266563," 815 Palmer St, Orlando, FL 32801",28.535137,-81.366579
46266592," 338 E Anderson St, Orlando, FL 32801",28.536315,-81.373064
46266600," 530 Lake Ave, Orlando, FL 32801",28.535468,-81.372788
46266605," 416 E Anderson St, Orlando, FL 32801",28.536327,-81.371726
46266652," 533 Lake Ave, Orlando, FL 32801",28.535439,-81.372143
46266665," 1022 Palmer St, Orlando, FL 32801",28.534622,-81.3653
46266667," 1014 Palmer St, Orlando, FL 32801",28.534591,-81.365626
46266670," 1004 Palmer St, Orlando, FL 32801",28.534643,-81.365929
46266677," 1107 Greenwood St, Orlando, FL 32801",28.534243,-81.364867
46266684," 1008 Greenwood St, Orlando, FL 32801",28.53394,-81.366168
46266709," 737 S Mills Ave, Orlando, FL 32801",28.532623,-81.363841
46266718," 1321 Catherine St, Orlando, FL 32801",28.532472,-81.362125
46266723," 1505 Catherine St, Orlando, FL 32801",28.532586,-81.36088
46266730," 1412 Catherine St, Orlando, FL 32801",28.531975,-81.361651
46266736," 1224 Catherine St, Orlando, FL 32801",28.53196,-81.363053
46266764," 405 S Hyer Ave, Orlando, FL 32801",28.53811,-81.366129
46266783," 416 Daniels Ave, Orlando, FL 32801",28.537793,-81.367588
46266785," 1417 Catherine St, Orlando, FL 32801",28.532445,-81.361346
46266786," 1419 Catherine St, Orlando, FL 32801",28.532717,-81.361349
46267048," 549 S Mills Ave, Orlando, FL 32801",28.53548,-81.364203
46267104," 711 S Mills Ave, Orlando, FL 32801",28.533518,-81.363854
46267108," 1300 Greenwood St, Orlando, FL 32801",28.533597,-81.362904
46267112," 1320 Greenwood St, Orlando, FL 32801",28.533605,-81.362155
46267120," 1413 Noble Pl, Orlando, FL 32801",28.533363,-81.361606
46267123," 1321 Noble Pl, Orlando, FL 32801",28.53333,-81.362152
46267126," 1307 Noble Pl, Orlando, FL 32801",28.533324,-81.362713
46267130," 1217 Noble Pl, Orlando, FL 32801",28.533317,-81.363393
46267147," 408 E Anderson St, Orlando, FL 32801",28.536425,-81.372025
46267152," 520 E Anderson St, Orlando, FL 32801",28.536356,-81.370173
46267191," 325 Agnes St, Orlando, FL 32801",28.533354,-81.373732
46267199," 425 Cherokee Dr, Orlando, FL 32801",28.532159,-81.371316
46267200," 733 Euclid Ave, Orlando, FL 32801",28.531973,-81.372305
46267204," 331 Cherokee Dr, Orlando, FL 32801",28.532019,-81.373578
46267209," 335 Ponce De Leon Pl, Orlando, FL 32801",28.534744,-81.373293
46267211," 800 Euclid Ave, Orlando, FL 32801",28.531587,-81.373238
46267212," 810 Euclid Ave, Orlando, FL 32801",28.531323,-81.373234
46267303," 705 S Summerlin Ave, Orlando, FL 32801",28.533643,-81.367991
46267304," 709 S Summerlin Ave, Orlando, FL 32801",28.533506,-81.367989
46267312," 719 S Summerlin Ave, Orlando, FL 32801",28.533208,-81.36806
46267321," 711 Greenwood St, Orlando, FL 32801",28.534225,-81.367859
46267330," 613 Daniels Ave, Orlando, FL 32801",28.534315,-81.366919
54442250," 230 Thornton Ln, Orlando, FL 32801",28.539519,-81.366054
64579608," 151 E Washington St UNIT 629, Orlando, FL 32801",28.544283,-81.37633
66180440," 524 Highland Ave, Orlando, FL 32801",28.550376,-81.373947
71065172," 806 Emerald Ln, Orlando, FL 32801",28.531839,-81.362408
71067789," 151 E Washington St UNIT 301, Orlando, FL 32801",28.544283,-81.37633
71083762," 317 E Amelia St APT 4, Orlando, FL 32801",28.549411,-81.373515
82072531," 189 S Orange Ave SUITE 1020, Orlando, FL 32801",28.540938,-81.378564
82073746," 189 S Orange Ave SUITE 920, Orlando, FL 32801",28.540938,-81.378564
82075339," 155 S Court Ave UNIT 1302, Orlando, FL 32801",28.540893,-81.377696
82077017," 189 S Orange Ave SUITE 1570, Orlando, FL 32801",28.540938,-81.378564
82077385," 189 S Orange Ave SUITE 1120, Orlando, FL 32801",28.540938,-81.378564
82077939," 189 S Orange Ave SUITE 990, Orlando, FL 32801",28.540938,-81.378564
82078116," 189 S Orange Ave SUITE 970, Orlando, FL 32801",28.540938,-81.378564
82079477," 189 S Orange Ave SUITE 1550, Orlando, FL 32801",28.540938,-81.378564
82081169," 189 S Orange Ave SUITE 1100, Orlando, FL 32801",28.540938,-81.378564
82084412," 121 S Orange Ave SUITE 1110, Orlando, FL 32801",28.540585,-81.378109
82084415," 189 S Orange Ave SUITE 1130, Orlando, FL 32801",28.540938,-81.378564
82085067," 189 S Orange Ave SUITE 1400, Orlando, FL 32801",28.540938,-81.378564
82087032," 121 S Orange Ave SUITE 920, Orlando, FL 32801",28.540585,-81.378109
82092503," 155 S Court Ave UNIT 2708, Orlando, FL 32801",28.540893,-81.377696
82095942," 189 S Orange Ave SUITE 950, Orlando, FL 32801",28.540938,-81.378564
82097224," 189 S Orange Ave SUITE 900, Orlando, FL 32801",28.540938,-81.378564
82100343," 121 S Orange Ave SUITE 1170, Orlando, FL 32801",28.540585,-81.378109
82104706," 121 S Orange Ave SUITE 850, Orlando, FL 32801",28.540585,-81.378109
82106618," 121 S Orange Ave SUITE 880, Orlando, FL 32801",28.540585,-81.378109
82107488," 121 S Orange Ave SUITE 1100, Orlando, FL 32801",28.540585,-81.378109
82107582," 121 S Orange Ave SUITE 800, Orlando, FL 32801",28.540585,-81.378109
99682100," 622 W Washington St, Orlando, FL 32801",28.54369,-81.388002
99695307," 731 S Mills Ave, Orlando, FL 32801",28.532767,-81.363791
99700989," 417 Calhoun Pl, Orlando, FL 32801",28.537872,-81.36496
99704108," 616 W Washington St, Orlando, FL 32801",28.54369,-81.387795
99716851," 634 W Washington St, Orlando, FL 32801",28.543694,-81.388444
118249092," 810 E Pine St, Orlando, FL 32801",28.541145,-81.367131
121159476," 801 N Orange Ave SUITE 810, Orlando, FL 32801",28.554997,-81.37919
121160028," 801 N Orange Ave SUITE 830, Orlando, FL 32801",28.554997,-81.37919
121161714," S Court Ave, Orlando, FL 32801",28.541658,-81.378166
125944909," 228 S Summerlin Ave, Orlando, FL 32801",28.539579,-81.368834
125946200," 623 E Jackson St, Orlando, FL 32801",28.539345,-81.369275
125947857," 620 Mariposa St, Orlando, FL 32801",28.539745,-81.369065
125992560," 641 E Jackson St, Orlando, FL 32801",28.539349,-81.369089
126040897," 654 Mariposa St, Orlando, FL 32801",28.539583,-81.368812
126050638," 1001 Harwell St, Orlando, FL 32801",28.53986,-81.365824
156769101," 232 Hillcrest St, Orlando, FL 32801",28.551888,-81.373917
156769161," 304 E Colonial Dr, Orlando, FL 32801",28.552819,-81.37341
156769195," 1218 E Robinson St, Orlando, FL 32801",28.545448,-81.363454
156769204," 1500 E Robinson St, Orlando, FL 32801",28.545562,-81.361167
156769914," 128 E Livingston St, Orlando, FL 32801",28.547267,-81.375497
156769915," 209 E Ridgewood St, Orlando, FL 32801",28.546939,-81.375554
156769924," 108 Hillcrest St, Orlando, FL 32801",28.551962,-81.376462
156770085," 1017 E South St, Orlando, FL 32801",28.538744,-81.365175
156770210," 1517 E Robinson St, Orlando, FL 32801",28.546099,-81.360638
156770410," 609 E Central Blvd, Orlando, FL 32801",28.542517,-81.369485
156771080," 132 E Concord St, Orlando, FL 32801",28.550615,-81.375503
156772265," 619 E Pine St, Orlando, FL 32801",28.541636,-81.369098
156772325," 225 S Eola Dr, Orlando, FL 32801",28.539649,-81.369592
156772328," 300 S Eola Dr, Orlando, FL 32801",28.538959,-81.370044
156888492," 310 E Anderson St, Orlando, FL 32801",28.536456,-81.374275
190919058," 701 S Hyer Ave, Orlando, FL 32801",28.533931,-81.36625
190921300," 1330 Noble Pl, Orlando, FL 32801",28.532984,-81.361951
190922370," 1334 Noble Pl, Orlando, FL 32801",28.532984,-81.361822
190922455," 1326 Noble Pl, Orlando, FL 32801",28.532984,-81.362037
294882590," 120 E Livingston St, Orlando, FL 32801",28.547265,-81.375691
294882591," 203 E Ridgewood St, Orlando, FL 32801",28.54684,-81.375745
294882593," 108 E Livingston St, Orlando, FL 32801",28.547098,-81.376282
294884582," 860 N Orange Ave, Orlando, FL 32801",28.556053,-81.379226
294889010," W Amelia St, Orlando, FL 32801",28.549235,-81.382376
294889031," 115 E Concord St UNIT 3, Orlando, FL 32801",28.551472,-81.375969
294889105," 1511 E Robinson St, Orlando, FL 32801",28.546096,-81.360908
294890303," 1109 E Jackson St, Orlando, FL 32801",28.539599,-81.364462
294921379," 622 E Washington St, Orlando, FL 32801",28.542781,-81.369117
2084138634," 1008 Greenwood St, Orlando, FL 32801",28.53394,-81.366168
2084479875," 223 Concord, Orlando, FL 32801",28.551327,-81.374366
2084507575," 223 Concord Street, Orlando, FL 32801",28.551327,-81.374366
2091671476," 300 Eola, Orlando, FL 32801",28.538959,-81.370044
2111406095," 413 Ruth Ln, Orlando, FL 32801",28.548019,-81.374699
2119584647," 155 S Court Ave UNIT 2907, Orlando, FL 32801",28.540932,-81.377826
2138723728," 1401 Catherine St, Orlando, FL 32801",28.532226,-81.361759
2145936601," 101 S Eola Dr # 717, Orlando, FL 32801",28.540941,-81.369452
46108942," 415 Westminster St, Orlando, FL 32803",28.581843,-81.372876
46108945," 401 Westminster St, Orlando, FL 32803",28.58184,-81.373076
46108975," 3248 N Orange Ave, Orlando, FL 32803",28.580568,-81.371653
46108976," 3244 N Orange Ave, Orlando, FL 32803",28.580501,-81.371793
46108982," 3216 N Orange Ave, Orlando, FL 32803",28.57965,-81.372277
46108985," 3305 Pelham Rd, Orlando, FL 32803",28.580181,-81.372739
46108987," 3311 Pelham Rd, Orlando, FL 32803",28.580374,-81.372514
46108988," 3315 Pelham Rd, Orlando, FL 32803",28.580461,-81.372359
46108993," 3341 Pelham Rd, Orlando, FL 32803",28.581048,-81.371727
46109002," 3334 Pelham Rd, Orlando, FL 32803",28.581417,-81.372027
46109003," 3330 Pelham Rd, Orlando, FL 32803",28.581325,-81.372217
46109012," 412 Westminster St, Orlando, FL 32803",28.581842,-81.372919
46109014," 420 Westminster St, Orlando, FL 32803",28.581657,-81.372093
46109029," 732 Wilkinson St, Orlando, FL 32803",28.579026,-81.369608
46109033," 760 Wilkinson St, Orlando, FL 32803",28.579476,-81.368772
46109039," 836 Wilkinson St, Orlando, FL 32803",28.579266,-81.367535
46109041," 3032 Westchester Ave, Orlando, FL 32803",28.579223,-81.367333
46109043," 3004 Westchester Ave, Orlando, FL 32803",28.578704,-81.366735
46109050," 837 Wilkinson St, Orlando, FL 32803",28.580397,-81.367213
46109053," 819 Wilkinson St, Orlando, FL 32803",28.580377,-81.367879
46109062," 812 Nottingham St, Orlando, FL 32803",28.581183,-81.36917
46109064," 822 Nottingham St, Orlando, FL 32803",28.581386,-81.368862
46109065," 828 Nottingham St, Orlando, FL 32803",28.581485,-81.36866
46109072," 855 Chichester St, Orlando, FL 32803",28.581063,-81.367167
46109077," 825 Chichester St, Orlando, FL 32803",28.580779,-81.368432
46109091," 851 Nottingham St, Orlando, FL 32803",28.581452,-81.368955
46109101," 729 Nottingham St, Orlando, FL 32803",28.580582,-81.369979
46109106," 725 Wilkinson St, Orlando, FL 32803",28.579735,-81.370295
46109107," 721 Wilkinson St, Orlando, FL 32803",28.579772,-81.37076
46109109," 711 Wilkinson St, Orlando, FL 32803",28.57963,-81.370868
46109138," 1001 Nottingham St, Orlando, FL 32803",28.58186,-81.366889
46109142," 1014 Nottingham St, Orlando, FL 32803",28.581855,-81.366674
46109153," 1101 Chichester St, Orlando, FL 32803",28.581227,-81.365537
46109162," 1020 Chichester St, Orlando, FL 32803",28.580654,-81.366021
46109172," 1101 Wilkinson St, Orlando, FL 32803",28.580047,-81.365222
46109176," 1018 Wilkinson St, Orlando, FL 32803",28.579795,-81.36612
46109184," 1121 Ayrshire St, Orlando, FL 32803",28.579426,-81.36483
46109191," 3041 Westchester Ave, Orlando, FL 32803",28.579745,-81.366805
46109193," 1010 Ayrshire St, Orlando, FL 32803",28.578864,-81.365794
46109203," 1245 Munster St, Orlando, FL 32803",28.578516,-81.36243
46109207," 1201 Chichester St, Orlando, FL 32803",28.581174,-81.364099
46109210," 1407 Nottingham St, Orlando, FL 32803",28.582025,-81.360521
46109211," 1421 Nottingham St, Orlando, FL 32803",28.582005,-81.359819
46109212," 1300 Nottingham St, Orlando, FL 32803",28.581498,-81.361541
46109215," 3308 Middlesex Rd, Orlando, FL 32803",28.581221,-81.358823
46109216," 1419 Chichester St, Orlando, FL 32803",28.58115,-81.359435
46109221," 1308 Wilkinson St, Orlando, FL 32803",28.579749,-81.3614
46109227," 3031 Middlesex Rd, Orlando, FL 32803",28.579107,-81.360935
46109228," 3011 Middlesex Rd, Orlando, FL 32803",28.578544,-81.361335
46109229," 2919 Middlesex Rd, Orlando, FL 32803",28.578004,-81.361609
46115976," 1212 Ayrshire St, Orlando, FL 32803",28.578887,-81.363881
46115980," 1240 Ayrshire St, Orlando, FL 32803",28.578865,-81.362713
46115988," 1201 Munster St, Orlando, FL 32803",28.578551,-81.364127
46115993," 1226 Wilkinson St, Orlando, FL 32803",28.579861,-81.363214
46115994," 1232 Wilkinson St, Orlando, FL 32803",28.579737,-81.362979
46116003," 1203 Ayrshire St, Orlando, FL 32803",28.579364,-81.364142
46116004," 1202 Chichester St, Orlando, FL 32803",28.580665,-81.364111
46116009," 1236 Chichester St, Orlando, FL 32803",28.580614,-81.362795
46116012," 1256 Chichester St, Orlando, FL 32803",28.580627,-81.362029
46116014," 1245 Wilkinson St, Orlando, FL 32803",28.580288,-81.36238
46116019," 1215 Wilkinson St, Orlando, FL 32803",28.580285,-81.363641
46116029," 3300 Sherwood Rd, Orlando, FL 32803",28.581135,-81.362001
46116033," 1233 Chichester St, Orlando, FL 32803",28.581179,-81.362961
46116040," 1235 Nottingham St, Orlando, FL 32803",28.581794,-81.362886
46116048," 1431 Nottingham St, Orlando, FL 32803",28.582005,-81.359508
46116051," 1515 Nottingham St, Orlando, FL 32803",28.582005,-81.358574
46116057," 1412 Nottingham St, Orlando, FL 32803",28.581475,-81.36028
46116075," 1321 Wilkinson St, Orlando, FL 32803",28.580261,-81.360894
46116084," 3209 Middlesex Rd, Orlando, FL 32803",28.579874,-81.360087
46116088," 3015 Middlesex Rd, Orlando, FL 32803",28.578718,-81.36123
46116090," 3001 Middlesex Rd, Orlando, FL 32803",28.578178,-81.361525
46116097," 3260 Lake Shore Dr, Orlando, FL 32803",28.58004,-81.358976
46116129," 1624 Haven Dr, Orlando, FL 32803",28.566244,-81.366544
46116142," 1417 Dauphin Ln, Orlando, FL 32803",28.564742,-81.367091
46116235," 1119 Munster St, Orlando, FL 32803",28.578623,-81.364871
46116260," 1100 Dorchester St, Orlando, FL 32803",28.576987,-81.365898
46116261," 1106 Dorchester St, Orlando, FL 32803",28.576928,-81.365688
46116263," 1114 Dorchester St, Orlando, FL 32803",28.577133,-81.365186
46116266," 3310 Pelham Rd, Orlando, FL 32803",28.580594,-81.372527
46116271," 722 N Lake Formosa Dr, Orlando, FL 32803",28.569801,-81.368772
46116353," 1310 Lake Shore Dr, Orlando, FL 32803",28.572286,-81.362753
46116355," 1400 Lake Shore Dr, Orlando, FL 32803",28.571905,-81.36223
46116373," 2403 Lake Shore Dr, Orlando, FL 32803",28.573755,-81.357095
46116376," 2505 Lake Shore Dr, Orlando, FL 32803",28.57456,-81.356788
46116383," 2643 Lake Shore Dr, Orlando, FL 32803",28.575528,-81.358071
46116393," 2626 Norfolk Rd, Orlando, FL 32803",28.575835,-81.361181
46116409," 1301 Lake Shore Dr, Orlando, FL 32803",28.572561,-81.362952
46116413," 2423 Norfolk Rd, Orlando, FL 32803",28.573222,-81.360803
46116417," 2401 Norfolk Rd, Orlando, FL 32803",28.572324,-81.361812
46116420," 1523 Lake Shore Dr, Orlando, FL 32803",28.572381,-81.360874
46116422," 1535 Lake Shore Dr, Orlando, FL 32803",28.572631,-81.360222
46116431," 2621 Norfolk Rd, Orlando, FL 32803",28.576022,-81.360393
46116438," 2504 Shrewsbury Rd, Orlando, FL 32803",28.57424,-81.359573
46116449," 2415 Shrewsbury Rd, Orlando, FL 32803",28.573428,-81.359649
46116461," 2500 Shoreham Rd, Orlando, FL 32803",28.574671,-81.358486
46116465," 2400 Shoreham Rd, Orlando, FL 32803",28.573644,-81.358663
46116466," 2322 Shoreham Rd, Orlando, FL 32803",28.573519,-81.358984
46116473," 2525 Shoreham Rd, Orlando, FL 32803",28.574589,-81.358304
46116482," 2354 Lake Shore Dr, Orlando, FL 32803",28.573525,-81.357815
46116486," 2701 Middlesex Rd, Orlando, FL 32803",28.576234,-81.361474
46116487," 2715 Middlesex Rd, Orlando, FL 32803",28.57638,-81.361572
46116494," 2700 Middlesex Rd, Orlando, FL 32803",28.575868,-81.362323
46116643," 1611 Wycliff Dr, Orlando, FL 32803",28.566018,-81.36065
46116652," 1627 Gay Dr, Orlando, FL 32803",28.566539,-81.361566
46116659," 1617 Flamingo Dr, Orlando, FL 32803",28.566272,-81.362434
46116677," 1745 Flamingo Dr, Orlando, FL 32803",28.568122,-81.362463
46116684," 1712 Wycliff Dr, Orlando, FL 32803",28.567206,-81.361234
46116698," 1727 Wycliff Dr, Orlando, FL 32803",28.567648,-81.360669
46116699," 1735 Wycliff Dr, Orlando, FL 32803",28.567894,-81.360715
46116701," 1403 Dolive Dr, Orlando, FL 32803",28.569161,-81.36214
46116706," 1810 Wycliff Dr, Orlando, FL 32803",28.568915,-81.361118
46116715," 1707 Asher Ln, Orlando, FL 32803",28.566929,-81.369152
46116720," 1617 Asher Ln, Orlando, FL 32803",28.565972,-81.369158
46116725," 1429 Asher Ln, Orlando, FL 32803",28.565155,-81.369155
46116728," 1415 Asher Ln, Orlando, FL 32803",28.564718,-81.369135
46116735," 1428 Ferris Ave, Orlando, FL 32803",28.565124,-81.368622
46116742," 1624 Ferris Ave, Orlando, FL 32803",28.566224,-81.368643
46116749," 722 S Lake Formosa Dr, Orlando, FL 32803",28.567376,-81.367416
46116756," 1637 Ferris Ave, Orlando, FL 32803",28.566635,-81.368069
46116757," 1633 Ferris Ave, Orlando, FL",28.566497,-81.368066
46116781," 1624 Dauphin Ln, Orlando, FL 32803",28.566238,-81.367411
46145323," 3303 Corrine Dr, Orlando, FL 32803",28.568007,-81.342871
46151391," 1800 Reppard Rd, Orlando, FL 32803",28.56944,-81.360334
46151419," 1835 Lake Sue Dr, Orlando, FL",28.569299,-81.348299
46151424," 1937 Lake Sue Dr, Orlando, FL 32803",28.570773,-81.348306
46151425," 1953 Lake Sue Dr, Orlando, FL 32803",28.57095,-81.348309
46151432," 2425 Lake Sue Dr, Orlando, FL 32803",28.572602,-81.348958
46151443," 2322 Ridge Ave, Orlando, FL 32803",28.570917,-81.349148
46151447," 2515 Woodside Ave, Orlando, FL 32803",28.57049,-81.349298
46151448," 1922 Lake Sue Dr, Orlando, FL 32803",28.570413,-81.348917
46151454," 2025 Woodlawn Dr, Orlando, FL 32803",28.569678,-81.349954
46151466," 2505 Boyd Ave, Orlando, FL 32803",28.568856,-81.349652
46151654," 1812 Janice Ave, Orlando, FL 32803",28.568857,-81.348005
46151656," 1808 Janice Ave, Orlando, FL 32803",28.568575,-81.347999
46151687," 1990 Palm Ln, Orlando, FL 32803",28.569876,-81.352077
46151692," 2020 Palm Ln, Orlando, FL 32803",28.57124,-81.352084
46151697," 2307 Lakeside Dr, Orlando, FL 32803",28.57318,-81.351773
46151700," 2101 Palm Ln, Orlando, FL 32803",28.572008,-81.351795
46151701," 2045 Palm Ln, Orlando, FL 32803",28.571634,-81.35174
46151708," 1847 Palm Ln, Orlando, FL 32803",28.569902,-81.3516
46151717," 1802 Oak Ln, Orlando, FL 32803",28.56798,-81.351176
46151725," 1876 Oak Ln, Orlando, FL 32803",28.57012,-81.351165
